nama_daerah,Latitude,Longitude
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KABUPATEN PANGANDARAN,-7.701.397,108.495.155,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA BOGOR,-6.594.946,106.794.913,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
KOTA SUKABUMI,-6.918.366,106.931.496,,,,,,,,,,,,
